exp_label,problem,alpha_tag,model_a,model_b,mean_a,mean_b,mean_diff,t_stat,p_raw,p_holm,significant
finetuning,p3,alpha3,bart,openai-modernbert,0.6906720866260556,0.7754435610897292,-0.08477147446367365,-18.759076252550095,4.7546920513405296e-05,0.02453421098491713,True
finetuning,p3,alpha3,deepseek-bart,openai-modernbert,0.7108225311426826,0.7754435610897292,-0.06462102994704666,-14.478467479822351,0.00013230427503262707,0.06787209309173768,False
finetuning,p3,alpha3,deepseek-bart,openai-bart,0.7108225311426826,0.7598100972626568,-0.048987566119974256,-14.469595890971089,0.0001326239660141707,0.0679034705992554,False
finetuning,p3,alpha3,modernbert,openai-modernbert,0.6983324988979251,0.7754435610897292,-0.07711106219180411,-10.60465754987464,0.0004475567266597305,0.2246734767831847,False
finetuning,p3,alpha3,deepseek-bart,gemini-llama3-qlora,0.7108225311426826,0.7684095981372989,-0.0575870669946162,-10.57478225505332,0.00045248906236228627,0.2266970202435054,False
finetuning,p3,alpha3,bart,openai-bart,0.6906720866260556,0.7598100972626568,-0.06913801063660126,-10.460461786839884,0.0004719982897974218,0.23552714660891347,False
finetuning,p3,alpha3,bart,phi4-modernbert,0.6906720866260556,0.7308786682980852,-0.04020658167202953,-10.424935767567668,0.0004782729120920065,0.23817991022181922,False
finetuning,p3,alpha3,deepseek-modernbert,openai-modernbert,0.7079960832048402,0.7754435610897292,-0.06744747788488903,-10.352726327065525,0.0004913491988533014,0.24420055183009082,False
finetuning,p3,alpha3,llama3-qlora,openai-modernbert,0.7090537571134613,0.7754435610897292,-0.06638980397626797,-7.722262822140383,0.0015139675179814903,0.7267044086311154,False
finetuning,p3,alpha3,bart,deepseek-bart,0.6906720866260556,0.7108225311426826,-0.020150444516626998,-2.6124578118298234,0.059266757031129616,1.0,False
finetuning,p3,alpha3,bart,deepseek-llama3-qlora,0.6906720866260556,0.7285904839781031,-0.037918397352047425,-2.0731147982106553,0.10685251478960567,1.0,False
finetuning,p3,alpha3,bart,deepseek-modernbert,0.6906720866260556,0.7079960832048402,-0.01732399657878463,-3.4639001197966564,0.02572614380465899,1.0,False
finetuning,p3,alpha3,bart,gemini-llama3-qlora,0.6906720866260556,0.7684095981372989,-0.0777375115112432,-7.007979655711139,0.0021827894746184366,1.0,False
finetuning,p3,alpha3,bart,gemini-modernbert-qlora,0.6906720866260556,0.76282062797799,-0.07214854135193438,-4.0641410884130575,0.015296480080392302,1.0,False
finetuning,p3,alpha3,bart,llama3-qlora,0.6906720866260556,0.7090537571134613,-0.018381670487405688,-1.8378862290992843,0.13994110846691205,1.0,False
finetuning,p3,alpha3,bart,modernbert,0.6906720866260556,0.6983324988979251,-0.007660412271869555,-1.6313132656617153,0.17815950534480707,1.0,False
finetuning,p3,alpha3,bart,openai-llama3-qlora,0.6906720866260556,0.7671742832126898,-0.07650219658663397,-6.313649459161055,0.0032186639336020976,1.0,False
finetuning,p3,alpha3,deepseek-bart,deepseek-llama3-qlora,0.7108225311426826,0.7285904839781031,-0.01776795283542043,-0.9704098331570529,0.3867934380559551,1.0,False
finetuning,p3,alpha3,deepseek-bart,deepseek-modernbert,0.7108225311426826,0.7079960832048402,0.002826447937842369,0.26041933134792605,0.807396810554347,1.0,False
finetuning,p3,alpha3,deepseek-bart,gemini-modernbert-qlora,0.7108225311426826,0.76282062797799,-0.051998096835307386,-3.629730374482999,0.02216518249499456,1.0,False
finetuning,p3,alpha3,deepseek-bart,llama3-qlora,0.7108225311426826,0.7090537571134613,0.0017687740292213095,0.18648204792227996,0.8611425834183251,1.0,False
finetuning,p3,alpha3,deepseek-bart,modernbert,0.7108225311426826,0.6983324988979251,0.012490032244757443,1.1034079695104337,0.3317659050410658,1.0,False
finetuning,p3,alpha3,deepseek-bart,openai-llama3-qlora,0.7108225311426826,0.7671742832126898,-0.05635175207000698,-4.689444196438128,0.009381617356371429,1.0,False
finetuning,p3,alpha3,deepseek-bart,phi4-modernbert,0.7108225311426826,0.7308786682980852,-0.020056137155402533,-2.2212332964836388,0.09048808312901836,1.0,False
finetuning,p3,alpha3,deepseek-llama3-qlora,deepseek-modernbert,0.7285904839781031,0.7079960832048402,0.0205944007732628,0.9709990518032037,0.38653301934150214,1.0,False
finetuning,p3,alpha3,deepseek-llama3-qlora,gemini-llama3-qlora,0.7285904839781031,0.7684095981372989,-0.03981911415919577,-2.047228533130001,0.11003608444105474,1.0,False
finetuning,p3,alpha3,deepseek-llama3-qlora,gemini-modernbert-qlora,0.7285904839781031,0.76282062797799,-0.034230143999886956,-1.4009460830403573,0.23383893947288503,1.0,False
finetuning,p3,alpha3,deepseek-llama3-qlora,llama3-qlora,0.7285904839781031,0.7090537571134613,0.01953672686464174,0.8448566678230309,0.44576241602993943,1.0,False
finetuning,p3,alpha3,deepseek-llama3-qlora,modernbert,0.7285904839781031,0.6983324988979251,0.030257985080177872,1.5926368108659272,0.18645967322812035,1.0,False
finetuning,p3,alpha3,deepseek-llama3-qlora,openai-bart,0.7285904839781031,0.7598100972626568,-0.031219613284553825,-1.8661594299259066,0.13543151307267232,1.0,False
finetuning,p3,alpha3,deepseek-llama3-qlora,openai-llama3-qlora,0.7285904839781031,0.7671742832126898,-0.03858379923458655,-1.605075485565776,0.18374738890693756,1.0,False
finetuning,p3,alpha3,deepseek-llama3-qlora,openai-modernbert,0.7285904839781031,0.7754435610897292,-0.04685307711162623,-2.4602698047164226,0.0696712234078405,1.0,False
finetuning,p3,alpha3,deepseek-llama3-qlora,phi4-modernbert,0.7285904839781031,0.7308786682980852,-0.0022881843199821007,-0.14696590807289434,0.8902687594851895,1.0,False
finetuning,p3,alpha3,deepseek-modernbert,gemini-llama3-qlora,0.7079960832048402,0.7684095981372989,-0.06041351493245857,-4.682977839808458,0.009426811888778598,1.0,False
finetuning,p3,alpha3,deepseek-modernbert,gemini-modernbert-qlora,0.7079960832048402,0.76282062797799,-0.054824544773149755,-3.3182699860638385,0.029426046768190887,1.0,False
finetuning,p3,alpha3,deepseek-modernbert,llama3-qlora,0.7079960832048402,0.7090537571134613,-0.0010576739086210595,-0.0880131037759292,0.9340964835766188,1.0,False
